n	a	b	b-a	(bP-aP)/(b-a)	
1	-0.0901699437494743	3	3.09016994374947	1.61803398874989
2	1.09016994374947	3	1.90983005625053	1.61803398874989
3	1.09016994374947	2.27050983124842	1.18033988749895	1.6180339887499
4	1.54101966249685	2.27050983124842	0.729490168751577	1.6180339887499
5	1.81966011250105	2.27050983124842	0.450849718747371	1.6180339887499
6	1.81966011250105	2.09830056250526	0.278640450004206	1.61803398874989
7	1.92609129376209	2.09830056250526	0.172209268743165	1.6180339887499
8	1.92609129376209	2.03252247502313	0.106431181261041	1.61803398874989
9	1.96674438754101	2.03252247502313	0.0657780874821243	1.61803398874989
10	1.99186938124422	2.03252247502313	0.0406530937789169	1.61803398874989
11	1.99186938124422	2.01699437494742	0.0251249937032076	1.61803398874989
12	1.99186938124422	2.00739748131993	0.0155281000757093	1.61803398874991
13	1.99780058769243	2.00739748131993	0.00959689362749816	1.61803398874989
14	1.99780058769243	2.00373179414064	0.0059312064482111	1.6180339887499
15	1.99780058769243	2.00146627487171	0.00366568717928684	1.61803398874997
16	1.99920075560279	2.00146627487171	0.00226551926892382	1.61803398875002
17	1.99920075560279	2.00060092351315	0.00140016791036279	1.61803398874983
18	1.99973557215459	2.00060092351315	0.000865351358561028	1.61803398875007
19	1.99973557215459	2.00027038870639	0.000534816551801764	1.61803398874944
20	1.99973557215459	2.00006610696135	0.000330534806759264	1.6180339887511
21	1.99986182521631	2.00006610696135	0.000204281745042056	1.61803398875027
22	1.99993985389963	2.00006610696135	0.000126253061716985	1.61803398875176
23	1.99993985389963	2.00001788258296	7.8028683325071e-005	1.61803398874501
24	1.99996965820457	2.00001788258296	4.82243783923586e-005	1.61803398874779
25	1.99998807827803	2.00001788258296	2.98043049329344e-005	1.61803398874334
26	1.99998807827803	2.00000649835149	1.84200734594242e-005	1.61803398876706
27	1.99999511412001	2.00000649835149	1.13842314730661e-005	1.61803398876807
28	1.99999511412001	2.000002149962	7.03584198635809e-006	1.6180339887023
29	1.99999780157251	2.000002149962	4.3483894871521e-006	1.61803398870925
30	1.9999994625095	2.000002149962	2.68745249942803e-006	1.61803398872262
31	1.9999994625095	2.00000112344649	1.66093698772407e-006	1.61803398882131
32	1.9999994625095	2.00000048902501	1.02651551148192e-006	1.61803398891292
33	1.99999985460354	2.00000048902501	6.34421476020108e-007	1.6180339888894
34	1.99999985460354	2.00000024669757	3.92094035239765e-007	1.61803398930096
35	1.99999985460354	2.00000009693098	2.42327440558299e-007	1.61803398878979
36	1.99999994716438	2.00000009693098	1.49766594681466e-007	1.61803398864544
37	1.99999994716438	2.00000003972523	9.25608460988769e-008	1.61803398514184
38	1.99999998251948	2.00000003972523	5.72057490266786e-008	1.61803398563508
39	1.99999998251948	2.00000001787458	3.53550970721983e-008	1.61803399690459
40	1.99999998251948	2.00000000437013	2.18506519544803e-008	1.61803396740064
41	1.99999999086568	2.00000000437013	1.35044457838518e-008	1.61803396483021
42	1.99999999602392	2.00000000437013	8.34620661471774e-009	1.61803396527927
43	1.99999999602392	2.00000000118216	5.15823894708944e-009	1.61803411984765
44	1.9999999979942	2.00000000118216	3.18796700149449e-009	1.61803398362383
45	1.99999999921189	2.00000000118216	1.97027194559496e-009	1.6180340021701
46	1.99999999921189	2.00000000042959	1.21769527794413e-009	1.61803365856967
47	1.99999999967701	2.00000000042959	7.52577111740038e-010	1.6180338983851
48	1.99999999967701	2.00000000014213	4.65118166204093e-010	1.61803422532804
49	1.99999999985467	2.00000000014213	2.87458945535946e-010	1.6180333693805
50	1.99999999996447	2.00000000014213	1.77659442712752e-010	1.6180335880076
51	1.99999999996447	2.00000000007427	1.09799502823194e-010	1.61803503790751
52	1.99999999996447	2.00000000003233	6.78597178449536e-011	1.61803653640388
53	1.99999999999039	2.00000000003233	4.1939562933635e-011	1.61803588540812
54	1.99999999999039	2.00000000001631	2.59199328667137e-011	1.6180428841887
55	1.99999999999039	2.00000000000641	1.60194080223164e-011	1.61803312772888
56	1.99999999999651	2.00000000000641	9.9005248443973e-012	1.61803624293532
57	1.99999999999651	2.00000000000263	6.11910522252401e-012	1.61796937368459
58	1.99999999999884	2.00000000000263	3.78186371108313e-012	1.61801315171442
59	1.99999999999884	2.00000000000118	2.33724151144088e-012	1.61808854265628
60	1.99999999999884	2.00000000000029	1.44462219964225e-012	1.61789117737473
61	1.9999999999994	2.00000000000029	8.92841356403551e-013	1.6180054712758
62	1.99999999999974	2.00000000000029	5.51780843238703e-013	1.61810865191147
63	1.99999999999974	2.00000000000008	3.40838468559923e-013	1.61889250814332
64	1.99999999999987	2.00000000000008	2.1049828546893e-013	1.61919831223629
65	1.99999999999995	2.00000000000008	1.30118138486068e-013	1.61774744027304
66	1.99999999999995	2.00000000000003	8.03801469828613e-014	1.61878453038674
67	1.99999999999998	2.00000000000003	4.9737991503207e-014	1.61607142857143
68	1.99999999999998	2.00000000000001	3.06421554796543e-014	1.6231884057971
69	1.99999999999999	2.00000000000001	1.88737914186277e-014	1.62352941176471
70	2	2.00000000000001	1.13242748511766e-014	1.66666666666667
71	2	2	7.32747196252603e-015	1.54545454545455
72	2	2	4.21884749357559e-015	1.73684210526316
73	2	2	2.44249065417534e-015	1.72727272727273
74	2	2	1.55431223447522e-015	1.57142857142857
75	2	2	1.11022302462516e-015	1.4
76	2	2	6.66133814775094e-016	1.66666666666667
77	2	2	4.44089209850063e-016	1.5
78	2	0	2	2
79
